1114,11845,20611 1
2117,10733,4951 1
1119,3611,14494 1
2115,15481,15590 1
2103,12372,23849 1
2112,11501,7162 1
2102,12124,20498 1
1114,22938,9914 1
2111,7055,4907 1
1101,20766,1260 1
1114,11656,13553 1
2113,26331,7124 1
2112,8681,21123 1
2109,8255,16812 1
2111,7141,21536 1
2104,13003,15356 1
2107,3829,19941 1
2101,25539,8923 1
1113,5940,18909 1
1111,20335,22197 1
1116,22064,20966 1
1101,22007,1494 1
1117,25916,4849 1
2108,8849,4515 1
1112,24562,2670 1
1116,16654,22507 1
2111,16198,18344 1
1106,18501,24320 1
2106,11914,24848 1
1111,15119,11442 1
2104,14376,24881 1
2112,28749,15381 1
1115,9875,5281 1
1115,13908,20776 1
2111,18340,8407 1
1101,11347,1666 1
2109,27820,15683 1
2104,5666,19376 1
2106,23092,3569 1
2102,21112,21890 1
2104,9575,20350 1
1101,18365,1817 1
2114,11612,11594 1
2117,3567,9851 1
2103,5070,16945 1
1111,20967,4025 1
1116,9415,18928 1
2102,23217,13379 1
2107,11568,7227 1
2117,6621,4465 1
1101,17820,2236 1
1107,7371,9000 1
2119,12076,10089 1
2105,9798,1159 1
2109,28738,9119 1
2117,22858,19590 1
1101,23635,2303 1
2119,20494,6280 1
1116,13119,8192 1
1109,21627,12513 1
1112,15661,6282 1
1101,9794,2342 1
1109,17837,10087 1
1116,21883,16274 1
1118,11306,13721 1
2104,10806,24116 1
1101,9995,2419 1
2116,22835,7228 1
2114,13504,11623 1
2109,10651,21764 1
1112,25412,23283 1
2104,23310,16722 1
1101,17755,2564 1
2102,8106,15040 1
1112,2761,11589 1
2105,24307,3459 1
2108,16720,5141 1
2103,9211,8048 1
2106,13045,4619 1
1108,27748,11867 1
1109,17855,17446 1
1106,21826,15279 1
2114,24629,14157 1
2111,10329,10214 1
2111,9684,4436 1
1101,7744,2747 1
2105,11330,23688 1
1108,17498,14558 1
1118,11571,4024 1
1110,17433,24103 1
1109,21479,21295 1
2117,23110,13183 1
2118,27442,5771 1
2105,6907,10934 1
2101,25331,19473 1
2102,18594,24779 1
1116,13696,13063 1
1101,21032,2898 1
1119,3750,11111 1
2116,25792,5284 1
1117,20941,21061 1
2109,14015,10923 1
1110,3879,8925 1
2112,19029,13389 1
1101,12391,3066 1
1108,13722,20584 1
1116,19984,21262 1
1107,9220,11539 1
1109,26932,8660 1
1101,15500,3196 1
2109,9343,16716 1
1110,17847,16737 1
1116,25497,10700 1
2117,2724,9753 1
1111,8525,24466 1
2118,14250,4992 1
1101,6223,3324 1
1111,26848,19211 1
2101,22798,23211 1
1116,16701,5805 1
1101,15070,3374 1
1113,25903,17474 1
1119,11049,14003 1
2102,22483,19500 1
1110,14551,7459 1
2111,6683,18714 1
1113,22441,18576 1
2115,28956,13431 1
1112,9767,9503 1
2116,8147,2607 1
1116,14092,16734 1
2114,12841,22827 1
2105,12326,1219 1
2109,13198,24725 1
2103,8208,6481 1
1114,16683,3166 1
1101,23107,3560 1
1113,18128,15605 1
1108,8908,12547 1
1111,13724,5632 1
2102,7463,12815 1
2116,19778,14029 1
1117,26882,13339 1
1106,13020,7531 1
1116,3862,7881 1
1113,19799,6294 1
1109,7013,11035 1
1113,24606,4525 1
2102,16754,7958 1
2113,28805,9491 1
1101,16053,3772 1
2107,6942,2983 1
1108,25432,10804 1
2101,12989,23134 1
1117,9169,17785 1
1101,10881,3832 1
2118,25419,10256 1
2119,13948,11287 1
2118,22583,4555 1
1114,28971,17309 1
1113,14609,4881 1
2113,7964,20101 1
2107,2166,10985 1
2101,17473,14802 1
2116,10553,12178 1
2107,5813,17183 1
1118,24480,10541 1
1101,10256,3964 1
1117,21590,17525 1
2107,5437,18176 1
2111,16973,4702 1
1110,16420,13394 1
2110,11548,2060 1
1118,8700,1166 1
2102,9774,7808 1
1108,17305,23120 1
2116,17590,15217 1
1113,20182,14295 1
1106,18758,23045 1
1116,15813,17097 1
1118,21107,6559 1
2112,3606,17021 1
2101,25104,14159 1
2108,2768,15254 1
2112,11828,18776 1
1101,9133,4177 1
2110,10775,16375 1
2119,2317,11483 1
2110,24443,20870 1
1117,16834,11877 1
2112,5519,20342 1
1101,26440,4263 1
2110,14512,18049 1
2113,8916,18160 1
1108,18697,8035 1
2118,21180,21185 1
1107,2156,11390 1
2112,4709,15044 1
1106,27414,9666 1
1109,22202,16797 1
